商品代碼	商品名稱	商品數量	商品權重
2330	台積電	571712353	58.49
2454	聯發科	34433761	5.87
2308	台達電	45178464	3.23
2317	鴻海	285706362	3.15
3711	日月光投控	77601335	2.0
2383	台光電	6793195	1.54
2303	聯電	272876071	1.43
3037	欣興	30853661	1.26
2345	智邦	11590878	1.19
2891	中信金	414604589	1.18
2881	富邦金	195220808	1.11
2882	國泰金	223191430	0.98
2327	國巨*	36852112	0.92
1303	南亞	115295428	0.87
2887	台新新光金	548372490	0.86
3017	奇鋐	7487644	0.86
2382	廣達	61869786	0.82
2885	元大金	258185216	0.79
2360	致茂	8621692	0.73
6669	緯穎	2431164	0.67
2886	兆豐金	276686586	0.62
3231	緯創	70671786	0.61
2884	玉山金	355909323	0.6
2357	華碩	15794689	0.56
2059	川湖	1290404	0.54
2412	中華電	89309324	0.54
2890	永豐金	306572034	0.54
2301	光寶科	45786183	0.51
2408	南亞科	26709548	0.51
2344	華邦電	72395414	0.5
2883	凱基金	368599159	0.5
3008	大立光	2195140	0.42
3665	貿聯-KY	4181370	0.42
2880	華南金	215279309	0.41
2892	第一金	262268703	0.41
1216	統一	115727453	0.38
3653	健策	2037645	0.37
7769	鴻勁	1334660	0.36
4958	臻鼎-KY	17842646	0.35
3443	創意	1877790	0.34
2368	金像電	8043194	0.32
2449	京元電子	26730989	0.29
5880	合庫金	245470189	0.29
3661	世芯-KY	1844216	0.28
2395	研華	10795660	0.27
2603	長榮	25515120	0.23
8046	南電	5015090	0.23
4904	遠傳	41544560	0.19
3045	台灣大	33129203	0.16
6505	台塑化	26965207	0.08
