商品代碼	商品名稱	商品數量	商品權重
2330	台積電	537014696	58.87
2454	聯發科	32421129	5.23
2308	台達電	42423932	3.53
2317	鴻海	268128322	3.0
3711	日月光投控	72914506	2.14
2303	聯電	256585735	1.77
2383	台光電	6388489	1.37
2327	國巨*	34632466	1.16
2891	中信金	390066648	1.16
3037	欣興	28962023	1.1
2345	智邦	10935378	1.09
2881	富邦金	183236921	1.09
1303	南亞	108298824	1.03
2882	國泰金	209289377	0.94
2382	廣達	58073185	0.9
2887	台新新光金	509538966	0.87
2885	元大金	242430484	0.75
3017	奇鋐	7035970	0.74
2360	致茂	8089318	0.72
2886	兆豐金	259372879	0.59
2884	玉山金	333605320	0.56
2412	中華電	83724592	0.55
2890	永豐金	282248834	0.54
6669	緯穎	2287772	0.51
2344	華邦電	67886194	0.5
2357	華碩	14810877	0.5
2883	凱基金	345869082	0.5
2408	南亞科	25035078	0.47
2059	川湖	1215460	0.46
3231	緯創	66264126	0.44
1216	統一	108437865	0.42
4958	臻鼎-KY	16744426	0.42
2301	光寶科	42949927	0.4
2892	第一金	245778881	0.4
3008	大立光	2061488	0.4
2880	華南金	201738939	0.39
7769	鴻勁	1251968	0.36
2368	金像電	7542544	0.33
2449	京元電子	23861067	0.33
3665	貿聯-KY	3922806	0.33
3443	創意	1762364	0.32
3653	健策	1911985	0.29
3661	世芯-KY	1730548	0.29
5880	合庫金	229726619	0.28
8046	南電	4705304	0.26
2395	研華	10117624	0.25
2603	長榮	23838730	0.23
4904	遠傳	38930122	0.19
3045	台灣大	31011147	0.16
6505	台塑化	25174269	0.1
